modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
QPSK,sinusoidal,2,-5,LMS-DD,-0.48471102640685104,0.49988,24994,50000
QPSK,sinusoidal,2,-5,NLMS-Frozen,0.7155330071169435,0.32578,16289,50000
QPSK,sinusoidal,2,-5,NLMS-DD,-0.3994789078532791,0.49056,24528,50000
QPSK,sinusoidal,2,0,No Processing,0.04313866375126017,0.17818,8909,50000
QPSK,sinusoidal,2,0,LMS-Frozen,1.7437420196512923,0.19894,9947,50000
QPSK,sinusoidal,2,0,LMS-DD,-0.5738198351873784,0.48646,24323,50000
QPSK,sinusoidal,2,0,NLMS-Frozen,1.7411075631604085,0.20034,10017,50000
QPSK,sinusoidal,2,0,NLMS-DD,-0.6050205966024751,0.48876,24438,50000
QPSK,sinusoidal,2,5,No Processing,5.127023305918672,0.06198,3099,50000
QPSK,sinusoidal,2,5,LMS-Frozen,3.4231241541416138,0.06416,3208,50000
QPSK,sinusoidal,2,5,LMS-DD,-1.0363277628102536,0.48032,24016,50000
QPSK,sinusoidal,2,5,NLMS-Frozen,3.356011919399032,0.06578,3289,50000
QPSK,sinusoidal,2,5,NLMS-DD,-0.9971092886011657,0.47488,23744,50000
QPSK,sinusoidal,2,10,No Processing,10.046763975131894,0.00854,427,50000
QPSK,sinusoidal,2,10,LMS-Frozen,5.310038968072589,0.00536,268,50000
